"Player","Squad","Season","Nation","Pos","Age","Born","MP_Playing Time","Starts_Playing Time","Min_Playing Time","Mins_Per_90_Playing Time","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty Kicks","PKA_Penalty Kicks","PKsv_Penalty Kicks","PKm_Penalty Kicks","Save_percent_Penalty Kicks","Matches","url"
"Alisson","Liverpool",2023,"br BRA","GK",29,1992,37,37,3330,37,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Alphonse Areola","West Ham",2023,"fr FRA","GK",29,1993,5,2,309,3.4,7,2.04,16,9,68.8,0,1,1,1,50,2,2,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Kepa Arrizabalaga","Chelsea",2023,"es ESP","GK",27,1994,29,29,2565,28.5,33,1.16,120,90,73.3,8,9,12,9,31,1,1,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Gavin Bazunu","Southampton",2023,"ie IRL","GK",20,2002,32,32,2880,32,56,1.75,120,67,54.2,6,6,20,4,12.5,2,1,1,0,50,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Asmir Begovic","Everton",2023,"ba BIH","GK",35,1987,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Daniel Bentley","Wolves",2023,"eng ENG","GK",29,1993,2,2,180,2,3,1.5,13,10,76.9,0,1,1,0,0,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Martin Dúbravka","Newcastle Utd",2023,"sk SVK","GK",33,1989,2,1,157,1.7,1,0.57,9,9,88.9,0,1,0,0,0,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Ederson","Manchester City",2023,"br BRA","GK",28,1993,35,35,3150,35,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Lukasz Fabianski","West Ham",2023,"pl POL","GK",37,1985,36,36,3111,34.6,48,1.39,154,106,70.1,11,6,19,8,22.2,4,2,1,1,33.3,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Fraser Forster","Tottenham",2023,"eng ENG","GK",34,1988,14,13,1215,13.5,24,1.78,55,30,60,5,3,5,3,23.1,3,2,1,0,33.3,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"David de Gea","Manchester Utd",2023,"es ESP","GK",31,1990,38,38,3420,38,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Vicente Guaita","Crystal Palace",2023,"es ESP","GK",35,1987,27,27,2430,27,34,1.26,116,84,72.4,7,9,11,6,22.2,2,2,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Dean Henderson","Nott'ham Forest",2023,"eng ENG","GK",25,1997,18,18,1620,18,31,1.72,85,52,65.9,5,5,8,6,33.3,5,2,2,1,50,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Wayne Hennessey","Nott'ham Forest",2023,"wls WAL","GK",35,1987,4,3,271,3,5,1.66,14,9,64.3,0,2,1,1,33.3,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Daniel Iversen","Leicester City",2023,"dk DEN","GK",25,1997,12,12,1080,12,22,1.83,59,38,66.1,2,4,6,1,8.3,2,2,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Sam Johnstone","Crystal Palace",2023,"eng ENG","GK",29,1993,9,9,810,9,10,1.11,34,25,76.5,4,3,2,3,33.3,2,2,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Caoimhín Kelleher","Liverpool",2023,"ie IRL","GK",23,1998,1,1,90,1,4,4,10,6,60,0,1,0,0,0,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Bernd Leno","Fulham",2023,"de GER","GK",30,1992,36,36,3240,36,51,1.42,192,142,77.1,15,5,16,8,22.2,8,7,1,0,12.5,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Hugo Lloris","Tottenham",2023,"fr FRA","GK",35,1986,25,25,2205,24.5,39,1.59,117,79,67.5,13,3,9,7,28,1,1,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Emiliano Martínez","Aston Villa",2023,"ar ARG","GK",29,1992,36,36,3139,34.9,38,1.09,132,97,74.2,17,7,12,11,30.6,5,4,1,0,20,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Alex McCarthy","Southampton",2023,"eng ENG","GK",32,1989,6,6,540,6,17,2.83,30,14,46.7,0,1,5,0,0,1,1,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Edouard Mendy","Chelsea",2023,"sn SEN","GK",30,1992,10,9,855,9.5,14,1.47,39,25,64.1,3,2,4,1,11.1,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Illan Meslier","Leeds United",2023,"fr FRA","GK",22,2000,34,34,3060,34,67,1.97,158,92,59.5,7,9,18,5,14.7,3,3,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Keylor Navas","Nott'ham Forest",2023,"cr CRC","GK",35,1986,17,17,1529,17,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Neto","Bournemouth",2023,"br BRA","GK",33,1989,27,27,2385,26.5,39,1.47,138,100,74.6,9,6,12,6,22.2,5,4,0,1,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Robin Olsen","Aston Villa",2023,"se SWE","GK",32,1990,4,2,281,3.1,8,2.56,19,11,63.2,1,0,1,1,50,1,1,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Stefan Ortega","Manchester City",2023,"de GER","GK",29,1992,3,3,270,3,1,0.33,15,14,93.3,2,1,0,2,66.7,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Jordan Pickford","Everton",2023,"eng ENG","GK",28,1994,37,37,3330,37,57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,0,16.7,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Nick Pope","Newcastle Utd",2023,"eng ENG","GK",30,1992,37,37,3261,36.2,32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,1,50,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Aaron Ramsdale","Arsenal",2023,"eng ENG","GK",24,1998,38,38,3420,38,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"David Raya","Brentford",2023,"es ESP","GK",26,1995,38,38,3420,38,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Joel Robles","Leeds United",2023,"es ESP","GK",32,1990,4,4,360,4,11,2.75,27,16,66.7,0,1,3,0,0,3,2,0,1,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Marek Rodák","Fulham",2023,"sk SVK","GK",25,1996,2,2,180,2,2,1,4,2,50,0,2,0,1,50,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"José Sá","Wolves",2023,"pt POR","GK",29,1993,36,36,3240,36,55,1.53,161,105,67.1,11,7,18,11,30.6,4,2,2,0,50,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Robert Sánchez","Brighton",2023,"es ESP","GK",24,1997,23,23,2070,23,30,1.3,74,46,66.2,11,5,7,6,26.1,6,5,1,0,16.7,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Jason Steele","Brighton",2023,"eng ENG","GK",31,1990,15,15,1350,15,23,1.53,57,36,61.4,7,3,5,6,40,2,1,1,0,50,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Mark Travers","Bournemouth",2023,"ie IRL","GK",23,1999,12,11,1035,11.5,32,2.78,66,36,54.5,2,0,9,2,18.2,2,2,0,0,0,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Danny Ward","Leicester City",2023,"wls WAL","GK",29,1993,26,26,2340,26,46,1.77,119,75,63,7,3,16,6,23.1,3,2,1,0,33.3,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
"Joseph Whitworth","Crystal Palace",2023,"eng ENG","GK",18,2004,2,2,180,2,5,2.5,10,5,50,0,0,2,0,0,0,0,0,0,NA,"Matches","https://fbref.com/en/comps/9/keepers/Premier-League-Stats"
